name_of_satellite_alternate_names,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments,serialid
IRS-P6 (Resourcesat-1) ,India,Indian Space Research Organization (ISRO),Government,Remote sensing,LEO,Sun-Synchronous,0,802,875,5.06E-03,98.7,101.68,"""1,360""","","""1,200""",2003-10-17,5 yrs.,ISRO Satellite Center,India,Sriharikota Launch Station,PSLV C5,2003-046A,28051,"""Monitor agricultural, land, and water resources.""",531
ITU-pSAT1 (Istanbul Technical University Picosat-1),Turkey,ITU Space Systems Design & Test Laboratory,Civil,Technology Development,LEO,Sun-Synchronous,0,710,725,1.06E-03,98.34,99.13,1,"","",2009-09-23,1 yr.,ITU Space Systems Design & Test Laboratory,Turkey,Sriharikota Launch Station,PSLV,2009-051D,35935,"""Turkey's first university satellite; raise experienced staff on satellite systems in our country, and also to serve as a practical ground for the theoretically equipped graduate and undergraduate students of _T  Astronautics Department.""",532
Jason 1 ,USA/France,NASA/Centre National d'Etudes Spatiales (CNES),Government,Earth Science,LEO,Intermediate,0,"""1,320""","""1,328""",5.20E-04,66,112.11,470,270,450,2001-12-07,5 yrs.,Astrium,France/UK/Germany,Vandenberg AFB,Delta 2,2001-055A,26997,Monitor sea surface level and wave heights.,533
Jason 2 ,USA/France,NASA/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT,Government,Earth Science,LEO,Intermediate,0,"""1,332""","""1,346""",9.08E-04,66,112.44,553,510,500,2008-06-20,5 yrs.,Thales Alenia Space,France,Vandenberg AFB,Delta 2,2008-032A,33105,Monitor sea surface level and wave heights.,534
"""JCSat 10 (Japan Communications Satellite 10, JCSat 3A)""",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,"",127.51,"""35,772""","""35,801""",3.44E-04,1.19,1436.1,"""4,400""","""1,858""","",2006-08-11,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5,2006-033A,29272,"""30 Ku-band, 12 C-band transponders.""",535
"""JCSat 110 (N-Sat-110, Superbird-D, Superbird-5, N-Sat-110)""",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,"",110.1,"""35,784""","""35,789""",5.93E-05,0.01,1436.11,"""3,531""","""1,669""","""7,200 (EOL)""",2000-10-07,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,2000-060A,26559,24 Ku-band; voice and video communications to Japan.,536
JCSat 1B (JCSAT 5),Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,"",128.03,"""35,778""","""35,794""",1.90E-04,0.01,1436.09,"""2,982""","""1,308""","""5,200""",1997-12-02,12 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 4,1997-075A,25067,Ku-band; voice and video communications to Asian Pacific countries and Hawaii.,537
"""JCSat 2A (JCSAT 8, Japan Communications Satellite 8)""",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,"",154,"""35,788""","""35,794""",7.12E-05,0.01,1436.1,"""2,500""","""1,460""","""3,500""",2002-03-29,11 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2002-015A,27399,"""16 C-band, 16 Ku-band; coverage to Japan< East Asia, Australia and Hawaii.""",538
"""JCSat 4A (JCSAT 6, Japan Communications Satellite 6)""",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,"",123.85,"""33,782""","""37,768""",4.73E-02,0.07,1435.52,"""2,900""","""1,230""","""5,200""",1999-02-15,14.5 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2AS,1999-006A,25630,"""32 Ku-band; multimedia and Internet access and voice, data and television signals to Japan.""",539
"""JCSat 9 (JCSat 5A, Japanese Communications Satellite 9)""",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,"",132.04,"""35,776""","""35,797""",2.49E-04,0.01,1436.1,"""4,400""","","",2006-04-12,12 yrs.,Lockheed Martin Commercial Space Systems,USA,Sea Launch (Odyssey),Zenit 3SL,2006-010A,29045,"""C-band, Ku-band, and S-band transponders.""",540
"""JCSat RA (JCSat 12, Japan Communications Satellite 12)""",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,"",142.49,"""35,780""","""35,794""",1.66E-04,0.04,1436.12,"""4,000""","","",2009-08-21,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5,2009-044A,35755,Backup for other JCSATs.,541
Jugnu,India,Indian Institute of Technology Kanpur,Civil,Earth Observation,LEO,"",0,849,868,1.31E-03,19.98,102.1,3,"",3,2011-10-12,1 yr.,Indian Institute of Technology Kanpur,India,Sriharikota Launch Station,PSLV,2011-058B,37839,The mission goal is to make a nanosatellite at IIT Kanpur that would serve the following applications: 1. Micro Imaging System; 2. GPS receiver for locating the position of satellite in the orbit; 3. MEMS based IMU (Inertial Measurement Unit) ,542
Kalpana-1 (Metsat-1),India,Indian Space Research Organization (ISRO),Government,Earth Science,GEO,"",74.07,"""35,783""","""35,789""",7.12E-05,0.04,1436.08,"""1,060""",500,550,2002-09-12,5-7 yrs.,ISRO Satellite Center,India,Satish Dhawan Space Center,Polar Satellite Launch Vehicle (PSLV),2002-043A,27525,Carries a VHRR (Very High Resolution Radiometer); Data Relay Transponder,543
KA-SAT,KA-SAT,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,"",9,"""35,714""","""35,856""",1.68E-03,0.13,1436.01,"""6,150""","""3,200""","""11,000""",2010-12-26,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton,2010-069A,37258,First satellite with exclusively Ka-band communications payload.,544
KazSat-2,Kazakhstan,JSC KazSat,Commecial,Communications,GEO,"",86.5,"""35,786""","""35,788""",2.37E-05,0.03,1436.13,"""1,300""","","",2011-07-15,12 yrs.,Khrunichev,Russia,Baikonur Cosmodrome,Proton-M,2011-035B,37749,Replaced KazSat-1.,545
"""Keyhole 3 (Advanced KH-11, KH-12-4, Advanced Keyhole, Misty-2, EIS-1, 8X Enhanced Imaging System, USA 144)""",USA,National Reconnaissance Office (NRO),Military,Reconnaissance,LEO,Sun-Synchronous,0,800,800,0.00E+00,63.4,100.87,"""18,000""","""10,000""","",1999-05-22,5+ yrs.,National Reconnaissance Laboratory,USA,Vandenberg AFB,Titan IV,1999-028A,25744,$1 billion satellite; high resolution surveillance; can carry up to 7 metric tons of fuel.,546
"""Keyhole 4 (Advanced KH-11, Advanced Keyhole, Improved Crystal, EIS-2, 8X Enhanced Imaging System, USA 161)""",USA,National Reconnaissance Office (NRO),Military,Reconnaissance,LEO,Sun-Synchronous,0,202,"""1,041""",6.00E-02,97.8,97.13,"""18,000""","""10,000""","",2001-10-05,5+ yrs.,Lockheed Martin,USA,Vandenberg AFB,Titan IV,2001-044A,26934,$1 billion satellite; high resolution surveillance; can resolve square or circular objects as small as 10 cm but linear structures of 5-8 cm can also be detected. Reported to have reduced capacity due to electrical problems.,547
"""Keyhole 5 (Advanced KH-11, KH-12-5, Improved Crystal, EIS-3, USA 186)""",USA,National Reconnaissance Office (NRO),Military,Reconnaissance,LEO,Sun-Synchronous,0,264,"""1,050""",5.59E-02,97.9,97,"""18,000""","""10,000""","",2005-10-19,5+ yrs.,Lockheed Martin,USA,Vandenberg AFB,Titan IV,2005-042A,28888,$1 billion satellite; last use of Titan IV as launch vehicle.,548
"""Keyhole 6 (NRO L49, Advanced KH-11, KH-12-6, Improved Crystal, USA 224)""",USA,National Reconnaissance Office (NRO),Military,Reconnaissance,LEO,Sun-Synchronous,0,200,"""1,000""",5.74E-02,97.8,97,"""18,000""","""10,000""","",2011-01-20,5+ yrs.,Lockheed Martin,USA,Vandenberg AFB,Delta 4 Heavy,2011-002A,37348,Believed to be KH-11 class.,549
"""Kiku-8 (ETS-8, Engineering Test Satellite 8)""",Japan,National Institute of Information and Communications Technology (NICT),Government,Technology Development,GEO,"",146.06,"""35,778""","""35,792""",1.66E-04,0.03,1436.04,"""5,800""","","",2006-12-18,"",Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2006-059A,29656,Technology development for satellite communications; JAXA portion completed.,550
"""Navstar GPS II-26 (Navstar SVN 40, PRN 10, USA 126)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,"",0,"""20,134""","""20,227""",1.75E-03,55,717.91,"""1,816""",844,700,1996-07-16,7.5 yrs.,Rockwell International,USA,Cape Canaveral,Delta 2,1996-041A,23953,"",551
Kizuna (WINDS - Wideband InterNetworking engineering Demonstration Satellite),Japan,Japan Aerospace Exploration Agency (JAXA),Government,Technology Development,GEO,"",143.05,"""35,776""","""35,796""",2.37E-04,0.02,1436.1,"""4,850""","""2,450""","",2008-02-23,"",JAXA/National Institute of Information and Communications Technology (NICT),Japan,Tanegashima Space Center,H2A,2008-007A,32500,"""Technology demonstration; carries ultra-fast, 1.2 Gbps direct-to-home downlink in Ka-band.""",552
"""Kompsat-2 (Arirang 2, Korean planned Multipurpose Satellite-2)""",South Korea,Korea Aerospace Research Institute (KARI),Government/Commercial,Earth Observation/Technology Development,LEO,Sun-Synchronous,0,675,702,1.91E-03,98.1,98.52,800,"",955,2006-07-28, 3 yrs.,Korea Aerospace Research Institute (KARI)/ EADS Astrium,South Korea/France/UK/Germany,Plesetsk Cosmodrome,Rokot,2006-031A,29268,"""High-resolution, multispectral images of Earth's surface.""",553
Koreasat 5 (Mugungwha 5),South Korea,KT Corporation/Korean Agency for Defense Development (ADD),Military/Commercial,Communications,GEO,"",113.08,"""35,780""","""35,792""",1.42E-04,0.02,1436.1,"""4,450""","","",2006-08-22,"",Alcatel Alenia Space,France,Sea Launch (Odyssey),Zenit 3SL,2006-034A,29349,"""24 Ku-band, 8 SHF-band, and 4 Ka-band transponders for commercial and military use.""",554
Koreasat 6 (Mugungwha 6),South Korea,KT Corporation,Commercial,Communications,GEO,"",116,"""35,780""","""35,794""",1.66E-04,0.05,1436.12,"""2,850""","""1,150""","",2010-12-29,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2010-070B,37265,Enhanced HD and 3D satellite TV programs. 30 Ku-and transponders. Will replace Koreasat 3.,555
"""Lacrosse/Onyx 3 (Lacrosse-3, USA 133)""",USA,National Reconnaissance Office (NRO),Military,Surveillance,LEO,Intermediate,0,671,675,2.84E-04,57,98.2,"""14,500""","","",1997-10-24,5 yrs.,Lockheed Martin Astronautics,USA,Vandenberg AFB,Titan IV,1997-064A,25017,"""$1 billion range; space-based imaging radar, uses radar pulses to see through clouds, fog, haze, darkness and generate images.""",556
"""Lacrosse/Onyx 4 (Lacrosse-4, USA 152)""",USA,National Reconnaissance Office (NRO),Military,Surveillance,LEO,Intermediate,0,574,676,7.29E-03,68,97.21,"""14,500""","","",2000-08-17,9 yrs.,Lockheed Martin Astronautics,USA,Vandenberg AFB,Titan IV,2000-047A,26473,$1 billion range; 3-10 ft. image resolution.,557
"""Lacrosse/Onyx 5 (Lacrosse-5, USA 182)""",USA,National Reconnaissance Office (NRO),Military,Surveillance,LEO,Intermediate,0,713,716,2.12E-04,57.01,99.08,"""14,500""","","",2005-04-30,9 yrs.,Lockheed Martin Astronautics,USA,Cape Canaveral,Titan 4B,2005-016A,28646,$1 billion range.,558
Landsat 5,USA,NASA/US Geological Survey,Government,Earth Science,LEO,Sun-Synchronous,0,694,701,4.95E-04,98.2,98.72,"""1,941""","","",1984-03-01,3 yrs.,GE Astro Space,USA,Vandenberg AFB,Delta,1984-021A,14780,Still imaging.,559
Landsat 7 ,USA,NASA/US Geological Survey,Government,Earth Science,LEO,Sun-Synchronous,0,687,698,7.79E-04,98.2,98.62,"""2,744""","""2,200""","""1,500""",1999-04-15,15 yrs.,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Delta 2,1999-020A,25682,Remote sensing; polar orbit.,560
LAPAN-Tubsat,Indonesia,Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Government,Earth Observation/Technology Development,LEO,Sun-Synchronous,0,619,639,1.43E-03,97.9,97.3,60,"",14,2007-01-10,"",Technical University of Berlin,Germany,Satish Dhawan Space Center,PSLV C7,2007-001A,29709,Video camera surveillance microsatellite; based on German DLR-Tubsat; will perform experiments in attitude control and earth observation.,561
LatinSat A ,Argentina,Aprize Satellites Argentina,Commercial,Communications,LEO,Intermediate,0,638,644,4.28E-04,64.5,97.55,"",12,"",2002-12-20,"",SpaceQuest,USA,Baikonur Cosmodrome,Dnepr LV,2002-058H,27612,"""Nanosatellite; planned constellation of 48 satellites, little LEO; asset tracking and monitoring services.""",562
LatinSat B ,Argentina,Aprize Satellites Argentina,Commercial,Communications,LEO,Intermediate,0,631,701,4.97E-03,64.5,98.07,"",12,"",2002-12-20,"",SpaceQuest,USA,Baikonur Cosmodrome,Dnepr LV,2002-058B,27606,"""Nanosatellite; planned constellation of 48 satellites, little LEO; asset tracking and monitoring services.""",563
"""Leasat 5 (Syncom IV-5, Leased Satellite F5)""",USA/Australia,US DoD/Royal Australian Navy/Panamsat (owner),Military,Communications,GEO,"",100.08,"""35,760""","""35,812""",6.17E-04,7.97,1436.1,"""3,400""","""1, 388""","""1,200""",1990-01-09,10 yrs.,Hughes,USA,Kennedy Space Center,Space Shuttle (STS 32R),1990-002B,20410,Ultra High Frequency (UHF) satellite communications services for U.S. DoD and Australian Defense Forces.,564
Lotos-S (Cosmos 2455),Russia,Ministry of Defense,Military,Reconnaissance,LEO,Sun-Synchronous,0,903,907,2.75E-04,67.16,103.1,"""5,000""","","",2009-11-20,"",TsSKB-Progress Samara Space Center and KB Arsenal,Russia,Plesetsk Cosmodrome,Soyuz U,2009-063A,36095,"""New generation electronic reconnaissance satellite, possibly will work as part of the Liana electronic reconnaissance system. """,565
Luch 5A,Russia,Russian Federal Space Agency,Government,Communications,GEO,"","","""35,778""","""35,793""",1.78E-04,4.85,1436.8,950,"","",2011-12-11,"",    ISS Reshetnev/Thales Alenia Space,Russia/France,Baikonur Cosmodrome,Proton M,2011-074B,37951,"""Seven S-band and Ku-band channels. The 1,148-kg spacecraft will provide TV and data communications links between the International Space Station and the ground, as well as orbital control of spacecraft in low Earth orbit.""",566
Maroc Tubsat ,Morocco/Germany,CTRS Morocco/Institut fÙr Luft-und Raumfahrttechnik (Berlin),Government,Technology Development,LEO,Sun-Synchronous,0,985,"""1,014""",1.97E-03,99.6,105.1,47,"",56,2001-12-10,2-3 yrs.,CRTS Morocco/Institut fÙr Luft-und Raumfahrttechnik,Morocco/Germany,Baikonur Cosmodrome,Zenit,2001-056D,27004,Test three-dimensional attitude control system for future remote sensing; currently used for ice observation in Arctic.,567
MaSat 1  (Magyar Satellite/Oscar 72) ,Hungary,Budapest University of Technology and Economics,Civil,Technology Development,LEO,"",0,310,"""1,442""",7.81E-02,69.4,102.48,1,"","",2012-02-13,"",Budapest University of Technology and Economics,Hungary,Guiana Space Center,Vega,2012-006H,38084,"""1U Cubesat from Budapest University of Technology and Economics to demonstrate various spacecraft avionics, including a power conditioning system, transceiver and on-board data handling.""",568
"""MBSat (Mobile Broadcasting Satellite, Han Byul)""",Japan/South Korea,Mobile Broadcasting Corporation (MBCO)/SK Telecom,Commercial,Communications,GEO,"",144.09,"""35,780""","""35,793""",1.54E-04,0.01,1436.1,"""4,143""","""1,700""","""7,400""",2004-03-13,12 yrs.,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,2004-007A,28184,CD-quality radio and data to cellular phones and other portable devices in Japan and South Korea.,569
Measat 2 (Malaysia East Asia Sat 2),Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,GEO,"",148,"""35,782""","""35,791""",1.07E-04,1.09,1436.12,"""1,450""",650,"""1,200 (BOL)""",1996-11-14,11.5 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,1996-063B,24653,"""Brought back from retirement 9/11, highly inclined. Digital video and audio broadcasting, international and domestic VSAT and telecommunication services as well as high-speed Internet access; 6 C-band, 9 Ku-band; Malaysia and neighboring countries.""",570
Measat 3 (Malaysia East Asia Sat 3),Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,GEO,"",91.54,"""35,778""","""35,794""",1.90E-04,0,1436.1,"""4,900""","""3,220""","""10,800""",2006-12-11,15 yrs.,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton M,2006-056A,29648,"""24 C-band, 24 Ku-band""",571
Measat 3A (Malaysia East Asia Sat 3A),Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,GEO,"",91.5,"""35,728""","""35,788""",7.12E-04,0.04,1434.6,"""2,417""","","",2009-06-21,15 yrs.,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Zenit 3SLB,2009-032A,35362,"""12 C-band, 12 Ku-band transponders, Asia-Pacific region, Middle East, and Africa.""",572
Megha-Tropiques,India/France,Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES),Government,Earth Science,LEO,"",0,867,867,0.00E+00,20,102.29,"""1,000""","","",2011-10-12,5 yrs.,Indian Space Research Organization (ISRO),India,Sriharikota Launch Station,PSLV,2011-058A,37838,The data collected by the satellite will allow improvement in knowledge on the water cycle contribution to the climate dynamic in the tropical atmosphere and our understanding of the processes linked to the tropical convection.,573
"""Mercury 1 (Advanced Vortex 1, USA 105)""",USA,National Reconnaissance Office (NRO)/USAF,Military,Surveillance,GEO,"",-27.95,"""35,598""","""35,976""",4.48E-03,5.1,1436.13,"""8,000""","""4,000""","",1994-08-27,"",Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,1994-054A,23223,In the $1 billion range; ELINT; signals intelligence.,574
"""Mercury 2 (Advanced Vortex 2, USA 118)""",USA,National Reconnaissance Office (NRO)/USAF,Military,Surveillance,GEO,"",-23.51,"""33,674""","""37,900""",5.01E-02,7.33,1436.12,"""8,000""","""4,000""","",1996-04-24,"",Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,1996-026A,23855,In the $1 billion range; ELINT; signals intelligence.,575
Meridian-3,Russia,Military Space Forces (VKS),Military,Communications,Elliptical,Molniya,0,961,"""39,388""",7.24E-01,62.8,645.98,"""2,500""","","",2010-11-02,"",PO Polyot,Russia,Plesetsk Cosmodrome,Soyuz 2-1a,2010-058A,37212,"""Military communications - designed to replace Molniya and Parus spacecraft; this is the third of the series, first success.""",576
Meridian-4,Russia,Military Space Forces (VKS),Military,Communications,Elliptical,Molniya,0,964,"""39,396""",7.24E-01,62.8,717.88,"""2,500""","","",2011-05-04,"",PO Polyot,Russia,Plesetsk Cosmodrome,Soyuz 2-1a,2011-018A,37398,Military communications - designed to replace Molniya and Parus spacecraft; this is the fourth of the series.,577
Meteor-M (Meteor-M1),Russia,Russian Federal Service For Hydrometeorology and Environmental Monitoring (ROSHYDROMET),Government,Meteorology,LEO,Polar,0,817,822,3.48E-04,98.8,101.28,"""2,700""","","",2009-09-17,5 yrs.,VNIIEM,Russia,Baikonur Cosmodrome,Soyuz 2-1b,2009-049A,35865,"""Will gather data for weather forecasts, monitor Earth's ozone layer and radiation conditions in upper atmosphere, information on ice floes for maritime shipping.""",578
Meteosat 7 (MTP 1) ,Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Science/Meteorology,GEO,"",-57.85,"""35,770""","""35,797""",3.20E-04,4.71,1435.96,696,320,200,1997-09-02,5 yrs.,Alcatel,France,Guiana Space Center,Ariane 5,1997-049B,24932,Meteorological spacecraft; intended primarily to support the National Meteorological Services (NMS) of Member States,579
"""Meteosat 8 (MSGalaxy-1, MSG-1)""",Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Science/Meteorology,GEO,"",9.27,"""35,781""","""35,793""",1.42E-04,0.46,1436.1,"""2,000""","""1,000""",700,2002-08-21,12 yrs.,Alcatel,France,Guiana Space Center,Ariane 5,2002-040B,27509,Meteorological spacecraft; intended primarily to support the National Meteorological Services (NMS) of Member States; planned system of 3 satellites,580
"""Meteosat 9 (MSGalaxy-2, MSG 2)""",Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Science/Meteorology,GEO,"",-0.02,"""35,775""","""35,795""",2.37E-04,0.29,1436,"""2,000""","""1,000""",700,2005-12-21,12 yrs.,Alcatel/Alenia Space,France/Italy,Guiana Space Center,Ariane 5G,2005-049B,28912,Meteorological spacecraft; intended primarily to support the National Meteorologicla Services (NMS) of Member States; planned system of 3 satellites.,581
